Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Quertenmont, Loic; Chatrchyan, Serguei; Basegmez, Suzan; Bruno, Giacomo; Caudron, Julien; Ceard, Ludivine; Cortina Gil, Eduardo; de Favereau de Jeneret, Jérôme; Delaere, Christophe; Favart, Denis; ",Search for new physics with jets and missing transverse momentum in pp collisions at sqrt (s)= 7 TeV,Journal of High Energy Physics,2011,8,155,2011,
"collaboration, CMS; ",Measurement of the top-quark mass in t t-bar events with lepton+ jets final states in pp collisions at sqrt (s)= 7 TeV,arXiv preprint arXiv:1209.2319,,,,2012,
"Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, Markus; Fruehwirth, Rudolf; Ghete, Vasile Mihai; ",Measurement of the Z boson differential cross section in transverse momentum and rapidity in proton–proton collisions at 8 TeV,Physics Letters B,749,,187-209,2015,North-Holland
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Pseudorapidity distributions of charged hadrons in xenon-xenon collisions at sNN= 5.44 TeV,Physics Letters B,799,,135049,2019,North-Holland
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Fabjan, Christian; Friedl, Markus; ","Search for supersymmetry in pp collisions at s= 8 TeV in events with a single lepton, large jet multiplicity, and multiple b jets",Physics Letters B,733,,328-353,2014,North-Holland
"Chatrchyan, S; Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Aguilo, E; Bergauer, T; Dragicevic, M; Erö, J; Fabjan, C; ",Search for electroweak production of charginos and neutralinos using leptonic final states in pp collisions at TeV,Journal of High Energy Physics,2012,11,,2012,Springer Nature BV
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ","Azimuthal separation in nearly back-to-back jet topologies in inclusive 2-and 3-jet events in p p pp collisions at s= 13\, Te V s= 13 Te",The European Physical Journal C,79,,1-24,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Observation of prompt J/ψ meson elliptic flow in high-multiplicity pPb collisions at sNN= 8.16 TeV,Physics Letters B,791,,172-194,2019,North-Holland
"Sirunyan, Albert M; Backhaus, Malte; Bäni, Lukas; Berger, Pirmin; Chernyavskaya, Nadezda; Dissertori, Günther; Dittmar, Michael; Donegà, Mauro; Dorfer, Christian; Gomez Espinosa, Tirso Alejandro; ",An embedding technique to determine ττ backgrounds in proton-proton collision data,Journal of Instrumentation,14,6,P06032,2019,IOP Publishing
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ","Search for a heavy pseudoscalar boson decaying to a Z and a Higgs boson at s= 13\, Te V s= 13 Te",The European Physical Journal C,79,,1-27,2019,Springer Berlin Heidelberg
"Diab, B; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Asilar, E; Bergauer, T; Brandstetter, J; Dragicevic, M; Eroe, J; ",Fragmentation of J/psi in jets in pp collisions at root s= 5.02 TeV,,,,,2019,ELSEVIER SCIENCE BV
"CMS collaboration; ",Search for $$\mathrm {t}\overline {\mathrm {t}}\mathrm {H} $$ production in the H→ $$\mathrm {b}\overline {\mathrm {b}} $$ decay channel with leptonic $$\mathrm {t}\overline {\mathrm {t}} $$ decays in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,JHEP,3,,026,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ","Measurement of electroweak production of a W W boson in association with two jets in proton–proton collisions at s= 13\, Te V s= 13 Te",The European Physical Journal C,80,,1-46,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Search for pair production of first-generation scalar leptoquarks at s= 13 TeV,Physical Review D,99,5,052002,2019,American Physical Society
"CMS Collaboration; Chatrchyan, S; ","Performance of tau-lepton reconstruction and identification in CMS. JINST 7, P01001 (2012)",arXiv preprint arXiv:1109.6034,1001,,,,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Constraints on anomalous HVV couplings from the production of Higgs bosons decaying to τ lepton pairs,Physical Review D,100,11,112002,2019,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ","Search for new physics in top quark production in dilepton final states in proton-proton collisions at s= 13\, TeV s= 13 TeV",The European Physical Journal C,79,,1-29,2019,Springer Berlin Heidelberg
"Bakhshiansohi, Hamed; Bondu, Olivier; Brochet, Sébastien; Bruno, Giacomo; Caputo, Claudio; Caudron, Adrien; David, Pieter; De Visscher, Simon; Delaere, Christophe; Delcourt, Martin; ",Search for lepton flavour violating decays of the Higgs boson to $\mu\tau $ and e $\tau $ in proton-proton collisions at $\sqrt {s}= $13 TeV,Journal of High Energy Physics,1806,,001,2018,
"Chatrchyan, Serguei; Khachatryan, Vardan; Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Friedl, M; Frühwirth, R; ",Alignment of the CMS tracker with LHC and cosmic ray data,,,,,2014,
"CMS collaboration; Abbaneo, D; Abbiendi, G; Abbrescia, M; Abdullin, S; Abdulsalam, A; Acharya, BS; Acosta, D; Acosta, JG; Adair, A; ",A new boson with a mass of 125 GeV observed with the CMS experiment at the Large Hadron Collider,Science,338,6114,1569-1575,2012,American Association for the Advancement of Science
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Extraction and validation of a new set of CMS PYTHIA 8 tunes from underlying-event measurements,The European Physical Journal C,80,,1-47,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Performance of reconstruction and identification of tau leptons decaying to hadrons and nu (tau) in pp collisions at√ s= 13 TeV,Journal of Instrumentation,13,,,2018,
"CMS collaboration; ","Measurement of $\mathrm {t\bar t} $ normalised multi-differential cross sections in pp collisions at $\sqrt {s}= 13$ TeV, and simultaneous determination of the strong coupling strength, top quark pole mass, and parton distribution functions",arXiv preprint arXiv:1904.05237,,,,2019,
"CMS collaboration; ",Search for nonresonant Higgs boson pair production in the $\mathrm {b\overline {b} b\overline {b}} $ final state at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1810.11854,,,,2018,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Jet shapes of isolated photon-tagged jets in Pb-Pb and pp collisions at s NN= 5.02 TeV,Physical review letters,122,15,152001,2019,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ","Search for heavy resonances decaying into a vector boson and a Higgs boson in final states with charged leptons, neutrinos and b quarks at $$\sqrt {s}= 13$$ TeV",Journal of High Energy Physics,2018,11,1-47,2018,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Search for contact interactions and large extra dimensions in the dilepton mass spectra from proton-proton collisions at $$\sqrt {s}= 13$$ TeV,Journal of High Energy Physics,2019,4,1-36,2019,Springer Berlin Heidelberg
"Sirunyan, AM; Bansal, S; Hindrichs, O; de Cassagnac, R Granier; Weiler, T; Da Silveira, GG; Leonardi, R; Adzic, P; Clarida, W; Grynyov, B; ","Measurement of the tt¯\documentclass [12pt]{minimal}\usepackage {amsmath}\usepackage {wasysym}\usepackage {amsfonts}\usepackage {amssymb}\usepackage {amsbsy}\usepackage {mathrsfs}\usepackage {upgreek}\setlength {\oddsidemargin}{-69pt}\begin {document} $${\mathrm {t}\overline {\mathrm {t}}} $$\end {document} production cross section, the top quark mass, and the strong coupling constant using dilepton events in pp collisions at s= 13Te\documentclass [12pt]{minimal}\usepackage {amsmath}\usepackage {wasysym}\usepackage {amsfonts}\usepackage {amssymb}\usepackage {amsbsy}\usepackage {mathrsfs}\usepackage {upgreek}\setlength {\oddsidemargin}{-69pt}\begin {document} $$\sqrt {s}= 13\,\text {Te}\text {V} $$\end {document}",EPJC,79,,368,2019,
"Baringer, Philip S; Benelli, Gabriele; Kenny III, RP; Murray, Michael J; Noonan, Danny; Stringer, Robert W; Tinti, Gemma; Wood, Jeffrey Scott; Zhukova, Victoria; Chatrchyan, S; ",Measurement of the Azimuthal Anisotropy of Neutral Pions in Pb-Pb Collisions at√ s (NN)= 2.76 TeV,,,,,2013,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Observation of nuclear modifications in W±boson production in pPb collisions at sNN= 8.16 TeV,Physics Letters B,800,,135048,2020,North-Holland
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for a Light Charged Higgs Boson Decaying to a W Boson and a CP-Odd Higgs Boson in Final States with e μ μ or μ μ μ in Proton-Proton Collisions at s= 13 TeV,Physical review letters,123,13,131802,2019,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Search for anomalous electroweak production of vector boson pairs in association with two jets in proton-proton collisions at 13 TeV,Physics Letters B,798,,134985,2019,North-Holland
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for vectorlike leptons in multilepton final states in proton-proton collisions at s= 13 TeV,Physical Review D,100,5,052003,2019,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Correlations of azimuthal anisotropy Fourier harmonics with subevent cumulants in p Pb collisions at s NN= 8.16 TeV,Physical Review C,103,1,014902,2021,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Search for supersymmetry with a compressed mass spectrum in the vector boson fusion topology with 1-lepton and 0-lepton final states in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2019,8,1-45,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for anomalous triple gauge couplings in WW and WZ production in lepton+ jet events in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2019,12,1-46,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; Flechl, Martin; ",Combination of CMS searches for heavy resonances decaying to pairs of bosons or leptons,Physics Letters B,798,,134952,2019,North-Holland
"Aaboud, Morad; Aad, Georges; Abbott, Brad; Abbott, Dale Charles; Abed Abud, A; Abhayasinghe, DK; Abidi, SH; AbouZeid, OS; Abraham, NL; Abramowicz, H; ",Combinations of single-top-quark production cross-section measurements and| fLVVtb| determinations at $$\sqrt {s} $$= 7 and 8 TeV with the ATLAS and CMS experiments,Journal of high energy physics,2019,5,1-81,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for the production of four top quarks in the single-lepton and opposite-sign dilepton final states in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2019,11,1-53,2019,Springer Berlin Heidelberg
"CMS collaboration; ",Search for long-lived particles using nonprompt jets and missing transverse momentum with proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1906.06441,,,,2019,
"Basegmez, Suzan; Beluffi, Camille; Bruno, Giacomo; Castello, Roberto; Caudron, Adrien; Ceard, Ludivine; Da Silveira, Gustavo Gil; Delaere, Christophe; Du Pree, Tristan; Favart, Denis; ",Search for flavor-changing neutral currents in top-quark decays t to Zq in pp collisions at sqrt (s)= 8 TeV,Physical Review Letters,112,,171802,2014,
"Bansal, S; Hindrichs, O; Weiler, T; Da Silveira, GG; Leonardi, R; Adzic, P; Clarida, W; Grynyov, B; Frühwirth, R; Sahin, MÖ; ",Search for pair production of second-generation leptoquarks at s= 13 TeV,Physical Review D,99,arXiv: 1808.05082,,2019,APS
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Observation of tt¯ H Production,Physical review letters,120,23,231801,2018,American Physical Society
"Khachatryan, V; Sirunyan, AM; Tumasyan, A; Adam, W; Asilar, E; Bergauer, T; Brandstetter, J; Brondolin, E; Dragicevic, M; Erö, J; ",Measurement of the differential cross section and charge asymmetry for inclusive [... formula...] production at [... formula...] TeV,,,,,2016,The European Physical Journal C-Particles and Fields
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Brondolin, Erica; Dragicevic, Marko; Erö, Janos; ",Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state with two b quarks and two τ leptons in proton–proton collisions at s= 13TeV,Physics Letters B,785,,462-488,2018,North-Holland
"CMS collaboration; ",Measurements of t t-bar spin correlations and top quark polarization using dilepton final states in pp collisions at sqrt (s)= 8 TeV,arXiv preprint arXiv:1601.01107,,,,2016,
"Sirunyan, AM; Erbacher, Robin; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Ujvari, Balazs; Lander, Richard; Smith, Nicholas; Choi, Young-Il; Hadjiiska, Roumyana; ",arXiv: Measurement of normalized differential $\mathrm {t}\overline {\mathrm {t}} $ cross sections in the dilepton channel from pp collisions at $\sqrt {s}= $13 TeV,JHEP,4,arXiv: 1708.07638,060,2017,
"CMS collaboration; ",Search for pair production of vector-like quarks in the fully hadronic final state,arXiv preprint arXiv:1906.11903,,,,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Study of the B $^+\to $ J $/\psi\overline {\Lambda} $ p decay in proton-proton collisions at $\sqrt {s}= $8 TeV,arXiv preprint arXiv:1907.05461,,,,2019,
"CMS Collaboration; ",Search for Physics beyond the Standard Model in Events with Overlapping Photons and Jets,PHYSICAL REVIEW LETTERS,123,24,,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ","Measurements of triple-differential cross sections for inclusive isolated-photon+ jet events in p p pp collisions at s= 8\, TeV s= 8 TeV",The European Physical Journal C,79,,1-24,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Search for light pseudoscalar boson pairs produced from decays of the 125 GeV Higgs boson in final states with two muons and two nearby tracks in pp collisions at s= 13TeV,Physics Letters B,800,,135087,2020,North-Holland
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; Flechl, Martin; ","Measurement of differential cross sections and charge ratios for t-channel single top quark production in proton–proton collisions at $$\sqrt {s}= 13$$$$\,\text {Te}\text {V} $$",The European Physical Journal C,80,5,1-37,2020,Springer Berlin Heidelberg
"CMS collaboration; ",Precise mapping of the magnetic field in the CMS barrel yoke using cosmic rays,Journal of Instrumentation,5,03,T03021,2010,IOP Publishing
"CMS collaboration; ",Search for Higgs and Z boson decays to J/$\psi $ or $\Upsilon $ pairs in the four-muon final state in proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1905.10408,,,,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; ",Evidence for light-by-light scattering and searches for axion-like particles in ultraperipheral PbPb collisions at sNN= 5.02 TeV,Physics Letters B,797,,134826,2019,North-Holland
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; Fruehwirth, Rudolf; ",A search for the standard model Higgs boson decaying to charm quarks,Journal of High Energy Physics,2020,3,1-54,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; Flechl, Martin; ","Measurement of the average very forward energy as a function of the track multiplicity at central pseudorapidities in proton-proton collisions at s= 13\, TeV s= 13 TeV",The European Physical Journal C,79,,1-23,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for dark matter particles produced in association with a Higgs boson in proton-proton collisions at $$\sqrt {\mathrm {s}} $$= 13 TeV,Journal of High Energy Physics,2020,3,1-57,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for supersymmetry in proton-proton collisions at 13 TeV in final states with jets and missing transverse momentum,Journal of High Energy Physics,2019,10,1-61,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Search for charged Higgs bosons in the H±→ τ±ντ decay channel in proton-proton collisions at $$\sqrt {s}= 13$$ TeV,Journal of High Energy Physics,2019,7,1-46,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for supersymmetry using Higgs boson to diphoton decays at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2019,11,1-50,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Del Valle, A Escalante; Flechl, Martin; ","Searches for physics beyond the standard model with the M_ T2 MT 2 variable in hadronic final states with and without disappearing tracks in proton–proton collisions at s= 13\, Te V s= 13 Te",The European Physical Journal C,80,,1-62,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Eroe, J; Escalante Del Valle, A; ",Measurements of t t¯ differential cross sections in proton-proton collisions at s= 13 TeV using events containing two leptons,Journal of High Energy Physics,2019,2,,2019,Springer Science and Business Media LLC
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for electroweak production of a vector-like T quark using fully hadronic final states,Journal of High Energy Physics,2020,1,1-64,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for long-lived particles using delayed photons in proton-proton collisions at s= 13 TeV,Physical Review D,100,11,112003,2019,American Physical Society
"CMS Collaboration cms-publication-committee-chair@ cern. ch; Sirunyan, AM; Tumasyan, A; Adam, W; Ambrogi, F; Bergauer, T; Brandstetter, J; Dragicevic, M; Erö, J; Escalante Del Valle, A; ","Evidence for W W WW production from double-parton interactions in proton–proton collisions at s= 13\, TeV s= 13 TeV",The European Physical Journal C,80,,1-26,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Charged-particle angular correlations in XeXe collisions at s NN= 5.44 TeV,Physical Review C,100,4,044902,2019,American Physical Society
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for dark photons in decays of Higgs bosons produced in association with Z bosons in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of High Energy Physics,2019,10,1-37,2019,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ","Search for supersymmetry with a compressed mass spectrum in events with a soft τ lepton, a highly energetic jet, and large missing transverse momentum in proton-proton collisions at s= 13 TeV",Physical review letters,124,4,041803,2020,American Physical Society
"Sirunyan, Albert M; ",Study of J/$\psi $ meson production from jet fragmentation in pp collisions at $\sqrt {s}= $8 TeV,,,,,2019,"Fermi National Accelerator Lab.(FNAL), Batavia, IL (United States); Lawrence …"
"Lehti, S; Hindrichs, O; Weiler, T; Yang, F; Hatherell, Z; Esen, S; Lutz, B; Adzic, P; Clarida, W; Gabathuler, K; ",Search for large extra dimensions in dimuon and dielectron events in pp collisions at,,,,,2012,"Physics Letters, B"
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Asilar, Ece; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; ",Strange hadron production in pp and p Pb collisions at s NN= 5.02 TeV,Physical Review C,101,6,064906,2020,American Physical Society
"CMS collaboration; ",Measurement of the top quark Yukawa coupling from $\mathrm {t\bar {t}} $ kinematic distributions in the lepton+ jets final state in proton-proton collisions at $\sqrt {s}= $13 TeV,arXiv preprint arXiv:1907.01590,,,,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Mixed higher-order anisotropic flow and nonlinear response coefficients of charged particles in PbPb collisions at $\sqrt {s_\mathrm {NN}}= $2.76 and 5.02 TeV,arXiv preprint arXiv:1910.08789,,,,2019,
"Sirunyan, Albert M; Tumasyan, A; Adam, W; Ambrogi, F; Bergauer, T; Brandstetter, J; Dragicevic, M; Erö, J; Escalante Del Valle, A; Flechl, M; ",Measurement of properties of $${\mathrm {B}} _ {\mathrm {s}}^ 0$$→ μ+ μ− decays and search for B0→ μ+ μ− with the CMS experiment,Journal of High Energy Physics,2020,4,1-49,2020,Springer Berlin Heidelberg
"Bakhshiansohi, Hamed; Bondu, Olivier; Bruno, Giacomo; Caputo, Claudio; David, Pieter; Delaere, Christophe; Delcourt, Martin; Giammanco, Andrea; Krintiras, Georgios; Lemaitre, Vincent; ",Measurement of the energy density as a function of pseudorapidity in proton-proton collisions at $\sqrt {s}= $13 TeV,European Physical Journal C. Particles and Fields,,,391,2019,
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Brandstetter, Johannes; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; ",Search for top squark pair production in a final state with two tau leptons in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of high energy physics,2020,2,1-45,2020,Springer Berlin Heidelberg
"Sirunyan, Albert M; Tumasyan, Armen; Adam, Wolfgang; Ambrogi, Federico; Bergauer, Thomas; Dragicevic, Marko; Erö, Janos; Escalante Del Valle, Alberto; Flechl, Martin; Fruehwirth, Rudolf; ",Search for physics beyond the standard model in multilepton final states in proton-proton collisions at $$\sqrt {s} $$= 13 TeV,Journal of high energy physics,2020,3,1-50,2020,Springer Berlin Heidelberg
